,day_opening,units_traded,noof_keywords,Europe,China,tariff,Stock Market,economy,bank,trade,jobs,money,dollar,currency,Xi,deal,growth,percent change
2019-01-03,0.019412270411599375,0.3476279393613318,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.024756730111614167
2019-01-04,0.0,0.40136859443177736,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.03433571429840443
2019-01-07,0.0676290530932876,0.38641120304486803,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.007010434849805236
2019-01-08,0.10349627217590007,0.38342798091728575,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.009695285141339438
2019-01-09,0.11661803824050997,0.3792242246443319,3,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0.004098045517469284
2019-01-10,0.10945564152746487,0.33134130785668975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004518418921847234
2019-01-11,0.12556840699596927,0.2941872577336043,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0001462979140943732
2019-01-14,0.11696022144301865,0.3258303278654688,2,0,1,0,0,0,0,1,0,0,0,0,0,2,0,-0.005257525420190867
2019-01-15,0.12224654077308811,0.3131543858731773,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.010721688854600231
2019-01-16,0.15496837249038023,0.35325725749968007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022219855538148092
2019-01-17,0.1489316756216868,0.3406666290553176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007591400273706306
2019-01-18,0.19527211274396136,0.3701768604889567,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.013183053048657412
2019-01-22,0.20256680210787087,0.3593475440018384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014157306316348373
2019-01-23,0.1866749720872749,0.28058112286389325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002202912839790905
2019-01-24,0.18155435599854672,0.2940166306377463,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0013757255722175454
2019-01-25,0.20208127915102037,0.3464197894406596,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.008488694197122282
2019-01-28,0.1883193361989093,0.31872453493796193,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.007846827452202776
2019-01-29,0.1882309615783033,0.30377952777575196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0014562467073728769
2019-01-30,0.1978656956351734,0.35381317158618525,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.015549260984848434
2019-01-31,0.2330375023128977,0.4982737766794041,5,0,3,0,0,0,0,1,0,1,0,0,1,4,0,0.0085973960122816
2019-02-01,0.25161128984531167,0.3388777965987415,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0.00089860985612078
2019-02-04,0.2562132438739704,0.28391523135795776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006776236658558865
2019-02-05,0.2803271593183565,0.31151691616292687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004708420383032985
2019-02-06,0.2877323175098268,0.29944367310600484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0022244380717381107
2019-02-07,0.26839710533531147,0.38569291801230443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009357139928022673
2019-02-08,0.24061940974558008,0.32003451070616223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006762010926872897
2019-02-11,0.2627354625959077,0.2842083246758429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007091030928123576
2019-02-12,0.2740035136609348,0.3483035676199309,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.012890224506745485
2019-02-13,0.3045623203101296,0.3266999756443581,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.003023994731897073
2019-02-14,0.29705774039457583,0.349532357915102,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-0.002651641617818279
2019-02-15,0.3155321062029064,0.32265446224256294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010878752906358091
2019-02-19,0.32550875418224057,0.3078401774521797,4,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0.0014987432818573954
2019-02-20,0.3362910141139791,0.3493603547942774,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.001777110607472876
2019-02-21,0.3376042410229756,0.3114178423653319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003526436662044552
2019-02-22,0.3380787168763487,0.2932680730559175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006411102372030131
