text,created_at
The Media should view this as a time of unity and strength. We have a common enemy actually an enemy of the World the CoronaVirus. We must beat it as quickly and safely as possible. There is nothing more important to me than the life &amp; safety of the United States!,3/11/2020 22:04
I will be addressing the Nation this evening at 9:00 P.M. (Eastern) from the Oval Office.,3/11/2020 20:44
I am fully prepared to use the full power of the Federal Government to deal with our current challenge of the CoronaVirus!,3/11/2020 19:18
....We have the greatest healthcare system experts scientists and doctors anywhere in the world. Together we will PREVAIL!,3/11/2020 19:17
I want to thank all of our Great Government officials on the CoronaVirus Task Force who are working around the clock in response to the CoronaVirus. Continue to check https://t.co/boZM2NePJW for updates and follow all recommendations that are available....,3/11/2020 19:17
....Together we are putting into policy a plan to prevent detect treat and create a vaccine against CoronaVirus to save lives in America and the world. America will get it done!,3/11/2020 18:52
America is the Greatest Country in the world. We have the best scientists doctors nurses and health care professionals. They are amazing people who do phenomenal things every day....,3/11/2020 18:52
Someone needs to tell the Democrats in Congress that CoronaVirus doesn’t care what party you are in. We need to protect ALL Americans!,3/11/2020 18:50
Vanity Fair Magazine which will soon be out of business and their third rate Fake reporters who make up sources which don’t exist wrote yet another phony &amp; boring hit piece. The facts are just the opposite. Our team is doing a great job with CoronaVirus!,3/11/2020 14:22
Thank you Gavin. Team is doing a great job! https://t.co/gMeoMXT5Fe,3/11/2020 14:08
THANK YOU IDAHO! #KAG2020 https://t.co/aNhwiYsx96,3/11/2020 5:32
Pocahontas working in conjunction with the Democrat Party totally destroyed the campaign of Bernie Sanders. If she would have quit 3 days earlier Sanders would have beaten Biden in a route it wouldn’t even have been close. They also got two other losers to support Sleepy Joe!,3/11/2020 4:55
THANK YOU WASHINGTON! #KAG2020 https://t.co/h04VbW71TH,3/11/2020 3:28
THANK YOU NORTH DAKOTA! #KAG2020 https://t.co/fOPyY03iyh,3/11/2020 3:27
....(which is under siege) is strong on Crime and the Border and truly LOVES our Military and our Vets. He will be a great Senator for the people of Alabama. Coach Tommy Tuberville a winner has my Complete and Total Endorsement. I love Alabama!,3/11/2020 1:54
Tommy Tuberville (@TTuberville) is running for the U.S. Senate from the Great State of Alabama. Tommy was a terrific head football coach at Auburn University. He is a REAL LEADER who will never let MAGA/KAG or our Country down! Tommy will protect your Second Amendment....,3/11/2020 1:54
THANK YOU MICHIGAN! #KAG2020 https://t.co/9Ibuma0JfP,3/11/2020 1:07
THANK YOU MISSOURI! #KAG2020 https://t.co/FH7NcIPqDp,3/11/2020 0:55
THANK YOU MISSISSIPPI! #KAG2020 https://t.co/r4DRnssHya,3/11/2020 0:52
Best unemployment numbers in the history of our Country. Best employment number EVER almost 160 million people working right now. Vote Republican unless you want to see these numbers obliterated!,3/10/2020 21:59
If you like automobiles how can you vote for a Democrat who all want to get rid of cars as quickly as possible especially if they are powered by gasoline. Remember also no more than one car per family. I on the other hand have new plants being built all over Michigan Plus!,3/10/2020 21:31
If you like automobils how can you vote for a Democrat who all want to get rid of cars as quickly as possible especially if they are powered by gasoline. Remember also no more than one car per family. I on the other hand have new plants being built all over Michigan Plus!,3/10/2020 21:29
Great meeting on Capitol Hill with the @SenateGOP! https://t.co/eNB8zMRCup,3/10/2020 18:41
Thank you @SenateGOP! https://t.co/XysOvXbTMF,3/10/2020 16:44
Ronald Reagan’s great economist the recipient of the Presidential Medal of Freedom has just said great things about a Payroll Tax Cut!,3/10/2020 14:48
Our CoronaVirus Team has been doing a great job. Even Democrat governors have been VERY complimentary!,3/10/2020 14:44
Nancy Pelosi just said “I don’t know if we can be ready this week.” In other words it’s off to vacation for the Do Nothing Democrats. That’s been the story with them for 1 1/2 years!,3/10/2020 14:42
There is another Russia Russia Russia meeting today. It is headed up by corrupt politician Adam “Shifty” Schiff so I wouldn’t expect too much! @DHS_Wolf,3/10/2020 14:28
The Federal Reserve must be a leader not a very late follower which it has been!,3/10/2020 14:02
Our pathetic slow moving Federal Reserve headed by Jay Powell who raised rates too fast and lowered too late should get our Fed Rate down to the levels of our competitor nations. They now have as much as a two point advantage with even bigger currency help. Also stimulate!,3/10/2020 14:00
Well deserved Jack. A great honor! https://t.co/Pb5aYSYNMP,3/10/2020 13:48
True with number 1 being more important! https://t.co/OwJf9vAdHQ,3/10/2020 13:46
Going to be a BAD day for Crazy Bernie!,3/10/2020 13:23
Polls say they BOTH lose to “Trump”. https://t.co/2AY4LZd8Zz,3/10/2020 11:36
Wow! @foxandfriends blew away the competition of Morning Joke (which did very poorly) on MSDNC (Another Comcast sleaze production) and @CNN’s New Day in the Morning Television Ratings. A total blowout but that’s what you get when you treat “Trump” fairly!,3/10/2020 11:33
Going up fast. We need the Wall more than ever! https://t.co/7TxErJKAgT,3/10/2020 11:08
Fake News!! https://t.co/BG62YbD7Fw,3/10/2020 4:49
Oklahoma Vote for your GREAT Senator Today. Nobody better than Jim! https://t.co/nYoLaM5Peu,3/10/2020 4:38
THANK YOU Jim for your incredible support of our #MAGA Agenda! You are a tremendous Senator for the people of the Great State of Oklahoma and you have my Complete and Total Endorsement! https://t.co/yx3e1tmjCM,3/9/2020 21:36
Congressman @StevenPalazzo is doing a fantastic job for the people of Mississippi. He strongly supports our #MAGA Agenda. Steven will continue to protect your #2A &amp; Support our INCREDIBLE Vets &amp; Military. Steven has my Complete Endorsement. VOTE for Steven tomorrow March 10th!,3/9/2020 21:34
Congressman Michael Guest (@GuestCongress) is an incredible fighter for the Great State of Mississippi. Michael is strong on Crime and the Border he loves our Military and Vets. Michael has my Complete and Total Endorsement! Get out and Vote for Michael tomorrow March 10th!,3/9/2020 21:29
So last year 37000 Americans died from the common Flu. It averages between 27000 and 70000 per year. Nothing is shut down life &amp; the economy go on. At this moment there are 546 confirmed cases of CoronaVirus with 22 deaths. Think about that!,3/9/2020 14:47
Saudi Arabia and Russia are arguing over the price and flow of oil. That and the Fake News is the reason for the market drop!,3/9/2020 14:36
Good for the consumer gasoline prices coming down!,3/9/2020 14:36
So much FAKE NEWS!,3/9/2020 13:17
The BEST decision made was the toughest of them all - which saved many lives. Our VERY early decision to stop travel to and from certain parts of the world!,3/9/2020 13:16
Great job being done by the @VP and the CoronaVirus Task Force. Thank you!,3/9/2020 13:11
The Obama/Biden Administration is the most corrupt Administration in the history of our Country!,3/9/2020 11:40
“Trump has outmastered the Deep State. He’s light years ahead of us.” MSDNC. I disagree. We have a long way to go. There are still some very bad sick people in our government - people who do not love our Country (In fact they hate our Country!).,3/9/2020 11:39
Now the Democrats are trying to smear Bernie with Russia Russia Russia. They are driving him Crazy!,3/9/2020 11:33
Elizabeth “Pocahontas” Warren singlehandedly destroyed the Bernie Sanders campaign by stripping voters away from his count on Super T. He lost states that he easily would have won if she had dropped out 3 days earlier. The DNC is doing it to Bernie again! Will he ever get angry?,3/9/2020 11:30
Cryin’ Chuck Schumer said “You will pay the price for this. You won’t know what HIT YOU.” That is far beyond simple rhetoric. That is a physical threat or at least a threat that you better vote for us.” Trouble ahead!,3/9/2020 11:24
The Fake News Media and their partner the Democrat Party is doing everything within its semi-considerable power (it used to be greater!) to inflame the CoronaVirus situation far beyond what the facts would warrant. Surgeon General “The risk is low to the average American.”,3/9/2020 11:20
A great book support Charlie BUY IT!  Already Number One. https://t.co/fG7YXOCk9R,3/9/2020 11:10
Working hard Lori! https://t.co/awBZuXrLHg,3/9/2020 10:17
There are no mixed messages only political weaponization by people like you and your brother Fredo! https://t.co/NqH4pHfuwt,3/9/2020 5:25
Who knows what this means but it sounds good to me! https://t.co/rQVA4ER0PV,3/8/2020 22:18
The New York Times is an embarrassment to journalism. They were a dead paper before I went into politics and they will be a dead paper after I leave which will be in 5 years. Fake News is the Enemy of the people!,3/8/2020 16:23
We have a perfectly coordinated and fine tuned plan at the White House for our attack on CoronaVirus. We moved VERY early to close borders to certain areas which was a Godsend. V.P. is doing a great job. The Fake News Media is doing everything possible to make us look bad. Sad!,3/8/2020 12:45
Thank you @SenatorTimScott!https://t.co/7Sp0mj1AL0,3/8/2020 5:24
.....least 5 States &amp; the Nomination. Did the DNC &amp; Dems tell Elizabeth Warren to wait? If so they were deadly the race would have been over &amp; Bernie would have won. Dirty double dealing? Nobody knows for sure &amp; history will be the judge. But I say here we go AGAIN Bernie!,3/8/2020 4:42
We have now learned for sure that the Democrats don’t want anything to do with Crazy Bernie. Rigged? First @amyklobuchar &amp; @PeteButtigieg quit the race &amp; come out for Sleepy Joe BEFORE Super Tuesday. Pocahontas says NO &amp; quits race AFTER ELECTION thereby depriving Bernie of at..,3/8/2020 4:42
I agree with Joe! https://t.co/h84mD7jVPW,3/8/2020 3:56
Thank you to the Great State of Tennessee. We are with you all the way! https://t.co/vyu0Tbthv0,3/8/2020 3:47
Thank you @GovBillLee and @MariaLeeTN. My Administration will always be there for the Great People of Tennessee. Together we will prevail! https://t.co/d5tJPEiEYf https://t.co/SqvRzbw3TL,3/7/2020 3:45
....I want to thank Acting Chief Mick Mulvaney for having served the Administration so well. He will become the United States Special Envoy for Northern Ireland. Thank you!,3/7/2020 1:08
I am pleased to announce that Congressman Mark Meadows will become White House Chief of Staff. I have long known and worked with Mark and the relationship is a very good one....,3/7/2020 1:08
Congratulations to @FoxNews! https://t.co/ED5t5eENE5,3/7/2020 0:19
https://t.co/TZ6o5jjPH7,3/6/2020 21:21
Thank you @GovBillLee. We are a phone call away and here for you! https://t.co/0dwI1wh1nr,3/6/2020 21:18
My Administration is with you all of the way Tennessee. We love you! https://t.co/YYLfZuPWyK,3/6/2020 20:59
Spoke to Governor @GavinNewsom early this morning about the cruise ship quarantined off the California Coast. CoronaVirus test kits have been delivered testing is taking place now. https://t.co/Pqda00HVCC,3/6/2020 15:47
It is FAKE NEWS that @HHSGov @SecAzar is “sidelined” from the great job he is doing on the CoronaVirus Task Force. He has the total confidence of the @VP and myself and is doing a fantastic job as the numbers would indicate!,3/6/2020 15:38
I will protect your Social Security and Medicare just as I have for the past 3 years. Sleepy Joe Biden will destroy both in very short order and he won’t even know he’s doing it!,3/6/2020 15:08
